[tok] class=PreTrainedTokenizerFast fast=True src=tokenizer.json
[info] minority classes per head (from TRAIN): [[1, 5], [1, 5], [1, 5]]
>> Grad checkpointing: False
[epoch 1] step 2/44: loss=0.9751 
[epoch 1] step 4/44: loss=0.9552 
[epoch 1] step 6/44: loss=0.9513 
[epoch 1] step 8/44: loss=0.9506 
[epoch 1] step 10/44: loss=0.9464 
[epoch 1] step 12/44: loss=0.9420 
[epoch 1] step 14/44: loss=0.9422 
[epoch 1] step 16/44: loss=0.9354 
[epoch 1] step 18/44: loss=0.9322 
[epoch 1] step 20/44: loss=0.9314 
[epoch 1] step 22/44: loss=0.9282 
[epoch 1] step 24/44: loss=0.9291 
[epoch 1] step 26/44: loss=0.9256 
[epoch 1] step 28/44: loss=0.9237 
[epoch 1] step 30/44: loss=0.9231 
[epoch 1] step 32/44: loss=0.9214 
[epoch 1] step 34/44: loss=0.9182 
[epoch 1] step 36/44: loss=0.9152 
[epoch 1] step 38/44: loss=0.9118 
[epoch 1] step 40/44: loss=0.9089 
[epoch 1] step 42/44: loss=0.9056 
[epoch 1] step 44/44: loss=0.8999 
[epoch 1] val_loss=1.5591 qwk=('0.0440', '0.0844', '0.3229') averageQWK=0.1504 macroEMD=0.3718 tailR0=('0.0000', '0.0556', '0.5000') tailR0avg=0.1852
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    3    0    7    0
     0   20    0   34    0
     0   54    1   70    0
     0   40    2   74    0
     0    5    2   16    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     1    0    6    2    0
    22    0   24    7    0
    46    0   47   28    0
    50    0   28   55    0
     1    0    4    7    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    4    0    0
     0   26   41    1    1
     0   31   91   21    8
     0   10   56   31    4
     0    0    0    0    2
[epoch 2] step 2/44: loss=0.7739 
[epoch 2] step 4/44: loss=0.7700 
[epoch 2] step 6/44: loss=0.7534 
[epoch 2] step 8/44: loss=0.7428 
[epoch 2] step 10/44: loss=0.7373 
[epoch 2] step 12/44: loss=0.7312 
[epoch 2] step 14/44: loss=0.7280 
[epoch 2] step 16/44: loss=0.7209 
[epoch 2] step 18/44: loss=0.7143 
[epoch 2] step 20/44: loss=0.7088 
[epoch 2] step 22/44: loss=0.7027 
[epoch 2] step 24/44: loss=0.6955 
[epoch 2] step 26/44: loss=0.6895 
[epoch 2] step 28/44: loss=0.6804 
[epoch 2] step 30/44: loss=0.6763 
[epoch 2] step 32/44: loss=0.6717 
[epoch 2] step 34/44: loss=0.6676 
[epoch 2] step 36/44: loss=0.6661 
[epoch 2] step 38/44: loss=0.6638 
[epoch 2] step 40/44: loss=0.6616 
[epoch 2] step 42/44: loss=0.6595 
[epoch 2] step 44/44: loss=0.6571 
[epoch 2] val_loss=1.1581 qwk=('0.4027', '0.4232', '0.4785') averageQWK=0.4348 macroEMD=0.3111 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0   10    0    0
     0    0   52    2    0
     0    0   95   30    0
     0    0   38   78    0
     0    0    8   15    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    9    0    0
     0    0   45    8    0
     0    0   84   37    0
     0    0   36   97    0
     0    0    0   12    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    5    0    0
     0   15   48    6    0
     0    8  100   43    0
     0    0   27   74    0
     0    0    0    2    0
[epoch 3] step 2/44: loss=0.5586 
[epoch 3] step 4/44: loss=0.5802 
[epoch 3] step 6/44: loss=0.5725 
[epoch 3] step 8/44: loss=0.5697 
[epoch 3] step 10/44: loss=0.5672 
[epoch 3] step 12/44: loss=0.5667 
[epoch 3] step 14/44: loss=0.5642 
[epoch 3] step 16/44: loss=0.5638 
[epoch 3] step 18/44: loss=0.5631 
[epoch 3] step 20/44: loss=0.5609 
[epoch 3] step 22/44: loss=0.5665 
[epoch 3] step 24/44: loss=0.5658 
[epoch 3] step 26/44: loss=0.5682 
[epoch 3] step 28/44: loss=0.5647 
[epoch 3] step 30/44: loss=0.5644 
[epoch 3] step 32/44: loss=0.5682 
[epoch 3] step 34/44: loss=0.5684 
[epoch 3] step 36/44: loss=0.5632 
[epoch 3] step 38/44: loss=0.5645 
[epoch 3] step 40/44: loss=0.5620 
[epoch 3] step 42/44: loss=0.5595 
[epoch 3] step 44/44: loss=0.5664 
[epoch 3] val_loss=1.0199 qwk=('0.5169', '0.4538', '0.5910') averageQWK=0.5206 macroEMD=0.2525 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    3    7    0    0
     0    5   43    6    0
     0    3   75   47    0
     0    0   16  100    0
     0    0    2   21    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    9    0    0
     0    0   42   11    0
     0    0   77   44    0
     0    0   17  116    0
     0    0    0   12    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    3    2    0    0
     0   38   25    6    0
     0   26   87   38    0
     0    2   22   77    0
     0    0    0    2    0
[epoch 4] step 2/44: loss=0.4884 
[epoch 4] step 4/44: loss=0.5088 
[epoch 4] step 6/44: loss=0.5259 
[epoch 4] step 8/44: loss=0.5181 
[epoch 4] step 10/44: loss=0.5128 
[epoch 4] step 12/44: loss=0.5167 
[epoch 4] step 14/44: loss=0.5229 
[epoch 4] step 16/44: loss=0.5182 
[epoch 4] step 18/44: loss=0.5145 
[epoch 4] step 20/44: loss=0.5179 
[epoch 4] step 22/44: loss=0.5175 
[epoch 4] step 24/44: loss=0.5198 
[epoch 4] step 26/44: loss=0.5173 
[epoch 4] step 28/44: loss=0.5113 
[epoch 4] step 30/44: loss=0.5081 
[epoch 4] step 32/44: loss=0.5080 
[epoch 4] step 34/44: loss=0.5080 
[epoch 4] step 36/44: loss=0.5111 
[epoch 4] step 38/44: loss=0.5090 
[epoch 4] step 40/44: loss=0.5103 
[epoch 4] step 42/44: loss=0.5111 
[epoch 4] step 44/44: loss=0.5107 
[epoch 4] val_loss=0.9676 qwk=('0.5450', '0.5007', '0.6172') averageQWK=0.5543 macroEMD=0.2310 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    3    7    0    0
     0    7   46    1    0
     0    8   83   34    0
     0    0   23   93    0
     0    0    4   19    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    9    0    0
     0    5   44    4    0
     0    5   81   35    0
     0    1   28  104    0
     0    0    0   12    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    5    0    0    0
     0   48   17    4    0
     0   48   64   39    0
     0    4   19   78    0
     0    0    0    2    0
[epoch 5] step 2/44: loss=0.4519 
[epoch 5] step 4/44: loss=0.4508 
[epoch 5] step 6/44: loss=0.4585 
[epoch 5] step 8/44: loss=0.4452 
[epoch 5] step 10/44: loss=0.4555 
[epoch 5] step 12/44: loss=0.4541 
[epoch 5] step 14/44: loss=0.4511 
[epoch 5] step 16/44: loss=0.4504 
[epoch 5] step 18/44: loss=0.4516 
[epoch 5] step 20/44: loss=0.4485 
[epoch 5] step 22/44: loss=0.4493 
[epoch 5] step 24/44: loss=0.4505 
[epoch 5] step 26/44: loss=0.4475 
[epoch 5] step 28/44: loss=0.4506 
[epoch 5] step 30/44: loss=0.4509 
[epoch 5] step 32/44: loss=0.4504 
[epoch 5] step 34/44: loss=0.4509 
[epoch 5] step 36/44: loss=0.4548 
[epoch 5] step 38/44: loss=0.4595 
[epoch 5] step 40/44: loss=0.4603 
[epoch 5] step 42/44: loss=0.4616 
[epoch 5] step 44/44: loss=0.4578 
[epoch 5] val_loss=0.9267 qwk=('0.6166', '0.6408', '0.6469') averageQWK=0.6348 macroEMD=0.2149 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    8    2    0    0
     0   21   33    0    0
     0   23   76   26    0
     0    0   33   83    0
     0    0    5   18    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    9    0    0    0
     0   25   23    5    0
     0   32   53   36    0
     0    1   25  107    0
     0    0    0   12    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    5    0    0    0
     0   41   26    2    0
     0   28   97   26    0
     0    2   28   71    0
     0    0    0    2    0
[epoch 6] step 2/44: loss=0.3894 
[epoch 6] step 4/44: loss=0.3946 
[epoch 6] step 6/44: loss=0.4040 
[epoch 6] step 8/44: loss=0.4134 
[epoch 6] step 10/44: loss=0.4227 
[epoch 6] step 12/44: loss=0.4110 
[epoch 6] step 14/44: loss=0.4071 
[epoch 6] step 16/44: loss=0.4067 
[epoch 6] step 18/44: loss=0.4134 
[epoch 6] step 20/44: loss=0.4162 
[epoch 6] step 22/44: loss=0.4143 
[epoch 6] step 24/44: loss=0.4152 
[epoch 6] step 26/44: loss=0.4131 
[epoch 6] step 28/44: loss=0.4156 
[epoch 6] step 30/44: loss=0.4134 
[epoch 6] step 32/44: loss=0.4126 
[epoch 6] step 34/44: loss=0.4153 
[epoch 6] step 36/44: loss=0.4141 
[epoch 6] step 38/44: loss=0.4154 
[epoch 6] step 40/44: loss=0.4137 
[epoch 6] step 42/44: loss=0.4121 
[epoch 6] step 44/44: loss=0.4110 
[epoch 6] val_loss=1.0772 qwk=('0.5445', '0.4986', '0.5312') averageQWK=0.5248 macroEMD=0.2236 tailR0=('0.0435', '0.0000', '0.0000') tailR0avg=0.0145
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    4    6    0    0
     0    6   43    5    0
     0    3   63   59    0
     0    0   12  104    0
     0    0    1   20    2
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    2    7    0    0
     0    8   33   12    0
     0    5   60   56    0
     0    0   11  122    0
     0    0    0   12    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    2    3    0    0
     0   13   51    5    0
     0    3   96   52    0
     0    0   17   84    0
     0    0    0    2    0
[epoch 7] step 2/44: loss=0.3772 
[epoch 7] step 4/44: loss=0.3746 
[epoch 7] step 6/44: loss=0.4100 
