[tok] class=PreTrainedTokenizerFast fast=True src=tokenizer.json
[info] minority classes per head (from TRAIN): [[1, 5], [1, 5], [1, 5]]
>> Grad checkpointing: False
[epoch 1] step 2/44: loss=0.9512 
[epoch 1] step 4/44: loss=0.9561 
[epoch 1] step 6/44: loss=0.9541 
[epoch 1] step 8/44: loss=0.9467 
[epoch 1] step 10/44: loss=0.9399 
[epoch 1] step 12/44: loss=0.9350 
[epoch 1] step 14/44: loss=0.9364 
[epoch 1] step 16/44: loss=0.9342 
[epoch 1] step 18/44: loss=0.9335 
[epoch 1] step 20/44: loss=0.9301 
[epoch 1] step 22/44: loss=0.9312 
[epoch 1] step 24/44: loss=0.9321 
[epoch 1] step 26/44: loss=0.9309 
[epoch 1] step 28/44: loss=0.9278 
[epoch 1] step 30/44: loss=0.9247 
[epoch 1] step 32/44: loss=0.9230 
[epoch 1] step 34/44: loss=0.9216 
[epoch 1] step 36/44: loss=0.9184 
[epoch 1] step 38/44: loss=0.9137 
[epoch 1] step 40/44: loss=0.9076 
[epoch 1] step 42/44: loss=0.9017 
[epoch 1] step 44/44: loss=0.8970 
[epoch 1] val_loss=1.5494 qwk=('0.0677', '0.0812', '0.1368') averageQWK=0.0952 macroEMD=0.3736 tailR0=('0.0000', '0.1000', '0.0000') tailR0avg=0.0333
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    5    0    4    0
     0   23    1   31    0
     0   49    6   71    0
     0   45    2   69    0
     0    5    3   14    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     2    0    4    4    0
    19    0   20   14    0
    54    0   24   41    0
    43    0   27   64    0
     2    0    2    8    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    4    0    0
     0   20   46    2    1
     0   33   97    9   12
     0   21   60   14    7
     0    0    1    0    0
[epoch 2] step 2/44: loss=0.7901 
[epoch 2] step 4/44: loss=0.7724 
[epoch 2] step 6/44: loss=0.7620 
[epoch 2] step 8/44: loss=0.7484 
[epoch 2] step 10/44: loss=0.7347 
[epoch 2] step 12/44: loss=0.7239 
[epoch 2] step 14/44: loss=0.7226 
