[tok] class=PreTrainedTokenizerFast fast=True src=tokenizer.json
[info] minority classes per head (from TRAIN): [[1, 5], [1, 5], [1, 5]]
>> Grad checkpointing: False
[epoch 1] step 2/44: loss=0.9392 
[epoch 1] step 4/44: loss=0.9408 
[epoch 1] step 6/44: loss=0.9413 
[epoch 1] step 8/44: loss=0.9467 
[epoch 1] step 10/44: loss=0.9487 
[epoch 1] step 12/44: loss=0.9468 
[epoch 1] step 14/44: loss=0.9502 
[epoch 1] step 16/44: loss=0.9483 
[epoch 1] step 18/44: loss=0.9491 
[epoch 1] step 20/44: loss=0.9504 
[epoch 1] step 22/44: loss=0.9496 
[epoch 1] step 24/44: loss=0.9508 
[epoch 1] step 26/44: loss=0.9482 
[epoch 1] step 28/44: loss=0.9443 
[epoch 1] step 30/44: loss=0.9434 
[epoch 1] step 32/44: loss=0.9395 
[epoch 1] step 34/44: loss=0.9353 
[epoch 1] step 36/44: loss=0.9320 
[epoch 1] step 38/44: loss=0.9280 
[epoch 1] step 40/44: loss=0.9225 
[epoch 1] step 42/44: loss=0.9170 
[epoch 1] step 44/44: loss=0.9117 
[epoch 1] val_loss=1.6155 qwk=('-0.1842', '-0.0076', '0.0205') averageQWK=-0.0571 macroEMD=0.3842 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    4    3    0
     0    2   50   46    0
     0    5  106   44    0
     0    0   52    7    0
     0    0    6    0    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0   14    0    0
     1    0   81    0    0
     1    0  165    0    0
     1    0   60    0    0
     0    0    2    0    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    0    0    5
     0   10    6    2   86
     0    5    6    2  167
     0    2    1    0   33
     0    0    0    0    0
[epoch 2] step 2/44: loss=0.8009 
[epoch 2] step 4/44: loss=0.7800 
[epoch 2] step 6/44: loss=0.7656 
[epoch 2] step 8/44: loss=0.7538 
[epoch 2] step 10/44: loss=0.7442 
[epoch 2] step 12/44: loss=0.7318 
[epoch 2] step 14/44: loss=0.7207 
[epoch 2] step 16/44: loss=0.7214 
[epoch 2] step 18/44: loss=0.7088 
[epoch 2] step 20/44: loss=0.7063 
[epoch 2] step 22/44: loss=0.7048 
[epoch 2] step 24/44: loss=0.6978 
[epoch 2] step 26/44: loss=0.6928 
[epoch 2] step 28/44: loss=0.6896 
[epoch 2] step 30/44: loss=0.6865 
[epoch 2] step 32/44: loss=0.6833 
[epoch 2] step 34/44: loss=0.6790 
[epoch 2] step 36/44: loss=0.6776 
[epoch 2] step 38/44: loss=0.6755 
[epoch 2] step 40/44: loss=0.6707 
[epoch 2] step 42/44: loss=0.6692 
[epoch 2] step 44/44: loss=0.6655 
[epoch 2] val_loss=1.2389 qwk=('0.1443', '0.2467', '0.0209') averageQWK=0.1373 macroEMD=0.3153 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    1    6    0
     0    0   49   49    0
     0    0   46  109    0
     0    0    3   56    0
     0    0    0    6    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0   11    3    0
     0    0   75    7    0
     0    0  138   28    0
     0    0   23   38    0
     0    0    1    1    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    5    0    0
     0    0  103    1    0
     0    0  180    0    0
     0    0   34    2    0
     0    0    0    0    0
[epoch 3] step 2/44: loss=0.5849 
[epoch 3] step 4/44: loss=0.5858 
[epoch 3] step 6/44: loss=0.5842 
[epoch 3] step 8/44: loss=0.5989 
[epoch 3] step 10/44: loss=0.5911 
[epoch 3] step 12/44: loss=0.5913 
[epoch 3] step 14/44: loss=0.5844 
[epoch 3] step 16/44: loss=0.5726 
[epoch 3] step 18/44: loss=0.5705 
[epoch 3] step 20/44: loss=0.5679 
[epoch 3] step 22/44: loss=0.5591 
[epoch 3] step 24/44: loss=0.5564 
[epoch 3] step 26/44: loss=0.5607 
[epoch 3] step 28/44: loss=0.5604 
[epoch 3] step 30/44: loss=0.5650 
[epoch 3] step 32/44: loss=0.5629 
[epoch 3] step 34/44: loss=0.5572 
[epoch 3] step 36/44: loss=0.5580 
[epoch 3] step 38/44: loss=0.5570 
[epoch 3] step 40/44: loss=0.5588 
[epoch 3] step 42/44: loss=0.5583 
[epoch 3] step 44/44: loss=0.5563 
[epoch 3] val_loss=1.4112 qwk=('0.1456', '0.2018', '0.1813') averageQWK=0.1763 macroEMD=0.2994 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    6    0
