[tok] class=PreTrainedTokenizerFast fast=True src=tokenizer.json
[info] minority classes per head (from TRAIN): [[1, 5], [1, 5], [1, 5]]
>> Grad checkpointing: False
[epoch 1] step 2/44: loss=0.9609 
[epoch 1] step 4/44: loss=0.9458 
[epoch 1] step 6/44: loss=0.9467 
[epoch 1] step 8/44: loss=0.9449 
[epoch 1] step 10/44: loss=0.9438 
[epoch 1] step 12/44: loss=0.9352 
[epoch 1] step 14/44: loss=0.9360 
[epoch 1] step 16/44: loss=0.9343 
[epoch 1] step 18/44: loss=0.9378 
[epoch 1] step 20/44: loss=0.9356 
[epoch 1] step 22/44: loss=0.9350 
[epoch 1] step 24/44: loss=0.9353 
[epoch 1] step 26/44: loss=0.9318 
[epoch 1] step 28/44: loss=0.9310 
[epoch 1] step 30/44: loss=0.9279 
[epoch 1] step 32/44: loss=0.9264 
[epoch 1] step 34/44: loss=0.9245 
[epoch 1] step 36/44: loss=0.9210 
[epoch 1] step 38/44: loss=0.9175 
[epoch 1] step 40/44: loss=0.9121 
[epoch 1] step 42/44: loss=0.9055 
[epoch 1] step 44/44: loss=0.9000 
[epoch 1] val_loss=1.4694 qwk=('0.1973', '0.2255', '0.2175') averageQWK=0.2134 macroEMD=0.3670 tailR0=('0.0000', '0.1111', '0.0000') tailR0avg=0.0370
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    4    0    5    0
     0   18    2   34    0
     0   48    0   78    0
     0   23    3   90    0
     0    1    0   22    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     2    0    4    3    0
    20    0   14   18    0
    46    0   22   54    0
    22    0   24   87    0
     0    0    1   11    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    5    0    0
     0    6   61    0    1
     0    9  123   13    7
     0    5   67   22    7
     0    0    1    1    0
[epoch 2] step 2/44: loss=0.7659 
[epoch 2] step 4/44: loss=0.7496 
[epoch 2] step 6/44: loss=0.7574 
[epoch 2] step 8/44: loss=0.7393 
[epoch 2] step 10/44: loss=0.7320 
[epoch 2] step 12/44: loss=0.7200 
[epoch 2] step 14/44: loss=0.7121 
[epoch 2] step 16/44: loss=0.7048 
[epoch 2] step 18/44: loss=0.6978 
[epoch 2] step 20/44: loss=0.6921 
[epoch 2] step 22/44: loss=0.6854 
[epoch 2] step 24/44: loss=0.6794 
[epoch 2] step 26/44: loss=0.6722 
[epoch 2] step 28/44: loss=0.6680 
[epoch 2] step 30/44: loss=0.6663 
[epoch 2] step 32/44: loss=0.6634 
[epoch 2] step 34/44: loss=0.6603 
[epoch 2] step 36/44: loss=0.6587 
[epoch 2] step 38/44: loss=0.6581 
[epoch 2] step 40/44: loss=0.6563 
[epoch 2] step 42/44: loss=0.6527 
[epoch 2] step 44/44: loss=0.6490 
[epoch 2] val_loss=1.1857 qwk=('0.3489', '0.1978', '0.3728') averageQWK=0.3065 macroEMD=0.3210 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
