[tok] class=PreTrainedTokenizerFast fast=True src=tokenizer.json
[info] minority classes per head (from TRAIN): [[1, 5], [1, 5], [1, 5]]
>> Grad checkpointing: False
[epoch 1] step 2/44: loss=0.9683 
[epoch 1] step 4/44: loss=0.9465 
[epoch 1] step 6/44: loss=0.9353 
[epoch 1] step 8/44: loss=0.9360 
[epoch 1] step 10/44: loss=0.9425 
[epoch 1] step 12/44: loss=0.9372 
[epoch 1] step 14/44: loss=0.9373 
[epoch 1] step 16/44: loss=0.9383 
[epoch 1] step 18/44: loss=0.9376 
[epoch 1] step 20/44: loss=0.9367 
[epoch 1] step 22/44: loss=0.9362 
[epoch 1] step 24/44: loss=0.9363 
[epoch 1] step 26/44: loss=0.9343 
[epoch 1] step 28/44: loss=0.9334 
[epoch 1] step 30/44: loss=0.9309 
[epoch 1] step 32/44: loss=0.9280 
[epoch 1] step 34/44: loss=0.9242 
[epoch 1] step 36/44: loss=0.9197 
[epoch 1] step 38/44: loss=0.9134 
[epoch 1] step 40/44: loss=0.9073 
[epoch 1] step 42/44: loss=0.9017 
[epoch 1] step 44/44: loss=0.8945 
[epoch 1] val_loss=1.3584 qwk=('0.0251', '0.2548', '0.0976') averageQWK=0.1259 macroEMD=0.3624 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    0    9    0
     0    3    0   38    0
     0    9    0  113    0
     0    8    1  132    0
     0    1    0   20    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0   11    2    0
     2    0   21   16    0
     4    0   56   44    0
     5    0   39  119    0
     0    0    2   14    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    7    5    0    0
     0   20   32    0    0
     0   45  111    2    0
     0   32   73    4    1
     0    1    2    0    0
[epoch 2] step 2/44: loss=0.7502 
[epoch 2] step 4/44: loss=0.7300 
[epoch 2] step 6/44: loss=0.7229 
[epoch 2] step 8/44: loss=0.7027 
[epoch 2] step 10/44: loss=0.6913 
[epoch 2] step 12/44: loss=0.6882 
[epoch 2] step 14/44: loss=0.6859 
[epoch 2] step 16/44: loss=0.6794 
[epoch 2] step 18/44: loss=0.6763 
[epoch 2] step 20/44: loss=0.6715 
[epoch 2] step 22/44: loss=0.6704 
[epoch 2] step 24/44: loss=0.6686 
[epoch 2] step 26/44: loss=0.6660 
[epoch 2] step 28/44: loss=0.6640 
[epoch 2] step 30/44: loss=0.6641 
[epoch 2] step 32/44: loss=0.6611 
[epoch 2] step 34/44: loss=0.6582 
[epoch 2] step 36/44: loss=0.6559 
[epoch 2] step 38/44: loss=0.6546 
[epoch 2] step 40/44: loss=0.6511 
[epoch 2] step 42/44: loss=0.6482 
[epoch 2] step 44/44: loss=0.6428 
[epoch 2] val_loss=1.1752 qwk=('0.4396', '0.4375', '0.0079') averageQWK=0.2950 macroEMD=0.3154 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    9    1    0
     0    0   35    6    0
     0    0   64   58    0
     0    0   20  121    0
     0    0    0   21    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0   12    1    0
     0    0   38    1    0
     0    0   89   15    0
     0    0   57  106    0
     0    0    3   13    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0   12    0    0
     0    0   52    0    0
     0    0  158    0    0
     0    0  109    1    0
     0    0    3    0    0
[epoch 3] step 2/44: loss=0.5793 
[epoch 3] step 4/44: loss=0.5870 
[epoch 3] step 6/44: loss=0.5924 
[epoch 3] step 8/44: loss=0.5857 
[epoch 3] step 10/44: loss=0.5858 
[epoch 3] step 12/44: loss=0.5780 
[epoch 3] step 14/44: loss=0.5808 
[epoch 3] step 16/44: loss=0.5765 
[epoch 3] step 18/44: loss=0.5794 
[epoch 3] step 20/44: loss=0.5764 
[epoch 3] step 22/44: loss=0.5697 
[epoch 3] step 24/44: loss=0.5670 
[epoch 3] step 26/44: loss=0.5653 
[epoch 3] step 28/44: loss=0.5614 
[epoch 3] step 30/44: loss=0.5641 
[epoch 3] step 32/44: loss=0.5621 
[epoch 3] step 34/44: loss=0.5562 
[epoch 3] step 36/44: loss=0.5511 
[epoch 3] step 38/44: loss=0.5461 
[epoch 3] step 40/44: loss=0.5478 
[epoch 3] step 42/44: loss=0.5481 
[epoch 3] step 44/44: loss=0.5438 
[epoch 3] val_loss=1.1993 qwk=('0.2566', '0.2809', '0.2606') averageQWK=0.2661 macroEMD=0.2890 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    7    3    0
     0    0   20   21    0
     0    0   26   96    0
     0    0    7  134    0
     0    0    0   21    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    9    4    0
     0    0   19   20    0
     0    0   32   72    0
     0    0   12  151    0
     0    0    0   16    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    0    9    3    0
     0    1   28   23    0
     0    1   44  113    0
     0    0    5  105    0
     0    0    0    3    0
[epoch 4] step 2/44: loss=0.5158 
[epoch 4] step 4/44: loss=0.5111 
[epoch 4] step 6/44: loss=0.5080 
[epoch 4] step 8/44: loss=0.5169 
[epoch 4] step 10/44: loss=0.5095 
[epoch 4] step 12/44: loss=0.5077 
[epoch 4] step 14/44: loss=0.5114 
[epoch 4] step 16/44: loss=0.5006 
[epoch 4] step 18/44: loss=0.4970 
[epoch 4] step 20/44: loss=0.5017 
[epoch 4] step 22/44: loss=0.5013 
[epoch 4] step 24/44: loss=0.5012 
[epoch 4] step 26/44: loss=0.5011 
[epoch 4] step 28/44: loss=0.5001 
[epoch 4] step 30/44: loss=0.4979 
[epoch 4] step 32/44: loss=0.4960 
[epoch 4] step 34/44: loss=0.4939 
[epoch 4] step 36/44: loss=0.4919 
[epoch 4] step 38/44: loss=0.4937 
[epoch 4] step 40/44: loss=0.4978 
[epoch 4] step 42/44: loss=0.4941 
[epoch 4] step 44/44: loss=0.5021 
[epoch 4] val_loss=1.1819 qwk=('0.3461', '0.4269', '0.3492') averageQWK=0.3741 macroEMD=0.2563 tailR0=('0.0000', '0.0000', '0.0000') tailR0avg=0.0000
[content] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    1    9    0    0
     0    4   37    0    0
     0    0  116    6    0
     0    0   90   51    0
     0    0    9   12    0
[organization] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    8    5    0    0
     0   10   29    0    0
     0   17   76   11    0
     0    6   92   65    0
     0    0    6   10    0
[language] confusion matrix (rows=true 1..5, cols=pred 1..5):
     0    4    8    0    0
     0    8   43    1    0
     0   11  136   11    0
     0    4   66   40    0
     0    0    1    2    0
[epoch 5] step 2/44: loss=0.4604 
[epoch 5] step 4/44: loss=0.4834 
[epoch 5] step 6/44: loss=0.4747 
[epoch 5] step 8/44: loss=0.4951 
